search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1955,Reebok Men • Fitness & Training Graphic Series T-Shirt HB8536,629.0,0,629.0,0.0,0,official_store,reebok,Jumia
1956,ADIDAS 3G SPEED REVERSIBLE JERSEY Dy6588,1229.0,37,779.0,2.0,1,Non,Not a brand,Jumia
1957,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,5.0,1,official_store,mesery,Jumia
1958,KEMT POLO SHIRT,325.0,54,149.0,3.0,2,Non,Not a brand,Jumia
1959,White Rabbit Pique Pattern Turn Down Collar Polo Shirt - Black,490.0,50,245.0,0.0,0,Non,Not a brand,Jumia
1960,Diadora Men Sportive T-SHIRT - NeonGreen,450.0,30,315.0,4.5,2,Non,Not a brand,Jumia
1961,"White Rabbit Printed ""Take Risk"" Heather Cotton T-Shirt - Dark Navy Blue",149.0,0,149.0,0.0,0,Non,Not a brand,Jumia
1962,Fashion Stainless Steel Cufflinks Vintage Knot Twist Cuff Links,694.0,31,482.0,0.0,0,Non,Not a brand,Jumia
1963,Izor Basic Round Neck Regular Fit T-Shirt - Pine Green,650.0,44,364.0,0.0,0,official_store,izor,Jumia
1964,Diadora Men Cotton Basic Shirt Neck Style T-Shirt - Blue Sky,359.0,20,287.0,0.0,0,Non,Not a brand,Jumia
1965,Izor Printed Latte Beige Short Sleeves T-Shirt,599.0,68,194.0,0.0,0,official_store,izor,Jumia
1966,Voiki Team Cotton Round T-shirt,300.0,0,300.0,0.0,0,Non,Not a brand,Jumia
1967,Nike Dri-FIT Legend Men's Fitness T-Shirt Dx0989-100,1249.0,0,1249.0,0.0,0,official_store,nike,Jumia
1968,Nike Jordan Jumpman Men's T-Shirt Cw5190-687,1500.0,0,1500.0,0.0,0,official_store,nike,Jumia
1969,Printed Cotton T-Shirt First Rate For Men,150.0,20,120.0,0.0,0,Non,Not a brand,Jumia
1970,Printed Cotton T-Shirt First Rate For Men,150.0,20,120.0,0.0,0,Non,Not a brand,Jumia
1971,Activ Cotton Regular Fit T-Shirt With Self Pattern - Navy Blue & White,499.0,70,149.0,4.0,1,official_store,activ,Jumia
1972,Hero Basic V Neck T-shirt   95% Cotton  5%Lycra- White,165.0,0,165.0,3.8,4,Non,Not a brand,Jumia
1973,"Active ""Stay Active Stay Fit"" Bi-Tone Slip On T-Shirt - Heather Grey & Blue",399.0,68,129.0,0.0,0,official_store,active,Jumia
1974,Caesar Solid Short Sleeves V-Neck T-Shirt - Navy Blue,220.0,48,114.0,5.0,2,Non,Not a brand,Jumia
1975,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,4.5,2,official_store,mesery,Jumia
1976,Mesery Cotton Printed T-Shirt For Men - Maroon,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1977,Diadora Men Cotton Printed T-Shirt - Grey,359.0,30,251.0,0.0,0,Non,Not a brand,Jumia
1978,Bijou Basic Plain Round Neck T-Shirt,160.0,0,160.0,0.0,0,Non,Not a brand,Jumia
1979,Fashion Men Casual 3D Printing Lightning T-shirt Round Neck-Black,730.0,50,365.0,0.0,0,Non,Not a brand,Jumia
1980,Diadora Men Cotton BasicT-Shirt - Grey,249.0,30,174.0,0.0,0,Non,Not a brand,Jumia
1981,Izor Buttoned Short Sleeves Cotton T-Shirt - Dark Grey,350.0,20,279.0,4.0,1,official_store,izor,Jumia
1982,Mesery Cotton Printed T-Shirt For Men - Maroon,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1983,"White Rabbit Stitched ""White Rabbit"" Crew Neck T-Shirt - Black",149.0,50,149.0,5.0,1,Non,Not a brand,Jumia
1984,Matalan Pink Positive Vibe T-Shirt,405.0,30,285.0,0.0,0,official_store,matalan,Jumia
1985,White Rabbit Slip On Printed Cotton Tank T-Shirt - White & Black,238.0,50,119.0,0.0,0,Non,Not a brand,Jumia
1986,Comfit Basic T-shirt Men White,360.0,31,250.0,0.0,0,Non,Not a brand,Jumia
1987,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1988,Fashion Men Casual Printing Short Sleeve Quick Drying T-Shirt Bodybuilding Elasticity Basketball Clothes Fitness Gym T Shirt Size M-XXL-black And White  85,1568.0,42,910.0,3.0,1,Non,Not a brand,Jumia
1989,"Andora ""Space Men"" Slip On Off-White, Blue & Black Tee",374.0,33,249.0,0.0,0,Non,Not a brand,Jumia
1990,Matalan Essential Slim Fit V Neck T-Shirt,295.0,20,235.0,0.0,0,official_store,matalan,Jumia
1991,Fashion Men's Vintage Oversized Short Sleeve T Shirts  Summer Harajuku Ethnic Style 3D Print O Collared Graphic T-Shirt Men Clothing-ZYQ-0017,1200.0,42,696.0,5.0,1,Non,Not a brand,Jumia
1992,Black deerz T-Shirt Simple Shirt Style For Summer Mode,600.0,47,320.0,0.0,0,Non,Not a brand,Jumia
1993,Red Circle Long Sleeves Basic Printed Tee - Olive,450.0,58,189.0,0.0,0,Non,Not a brand,Jumia
1994,Classical Popeye Series T Shirt Men Women 3D Printed Novelty Fashion Tshirt Hip Hop Streetwear Casual Summer Tops110/6XL-912,1288.96,41,766.4,0.0,0,Non,Not a brand,Jumia
1995,Fashion (Black)Mens Muscle T Shirt Bodybuilding Fitness Men Tops Close-fitting T-shirt Plus Big Size Tshirt Compress Mesh Loose Short Sleeve OLD,1555.0,42,900.0,0.0,0,Non,Not a brand,Jumia
1996,Colins Man Multi Colour T-Shirt Short Sleeve,261.0,0,261.0,5.0,1,official_store,colins,Jumia
1997,Defacto Slim Fit V-neck T-Shirt.,299.2,30,208.8,5.0,2,official_store,defacto,Jumia
1998,"White Rabbit Printed ""Take Risk"" Heather Cotton T-Shirt - Petroluem",149.0,0,149.0,3.0,1,Non,Not a brand,Jumia
1999,Andora Printed Round Neck Cotton T-Shirt - Lavender,259.0,42,149.0,5.0,1,Non,Not a brand,Jumia
2000,Activ Chest Printed Round Neck White T-Shirt,499.0,60,199.0,0.0,0,official_store,activ,Jumia
1,Over Size  Heavy Jersey T-Shirt Aqua,479.0,50,240.0,,,official_store,sutra,sutra
2,Boy T-Shirt PR-Moabd White,299.0,50,150.0,,,official_store,sutra,sutra
3,Boy T-Shirt PR-Horizontal Line Beige,299.0,50,150.0,,,official_store,sutra,sutra
4,Boy T-Shirt PR-Pacman Black,299.0,50,150.0,,,official_store,sutra,sutra
5,Injection Polo T-Shirt Gray,499.0,50,250.0,,,official_store,sutra,sutra
6,Over Size Beehive T-Shirt Wine,299.0,50,150.0,,,official_store,sutra,sutra
7,Basic Slim Fit Round T-Shirt Sky Blue,299.0,50,150.0,,,official_store,sutra,sutra
8,Basic Slim Fit Round T-Shirt Green,299.0,50,150.0,,,official_store,sutra,sutra
9,Boy T-Shirt PR-One Nation Black,299.0,50,150.0,,,official_store,sutra,sutra
