,search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
166,167,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-466640105-Black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
167,168,Fashion Forward Observations Group T-Shirt For Men Death Skeleton Satan Vintage 100% Cotton Tees Round Collar Short Sleeve T Shirts-435178204-Black,1381.0,42,801.0,,0,Non,Not a brand,Jumia
168,169,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-Burgundy,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
169,170,Men's Breathable Cotton Vest Round Neck Slim Tank Top Sports Fitness Clothing Solid White Black Gray Tees Elastic Vest Plus Size Black SFH,689.6,39,420.8,,0,Non,Not a brand,Jumia
170,171,Men T Shirt Long Leeve Cotton Spring Autumn Thermal Undershirt Armor Mens T Shirts Full Sleeve Round Neck Casual Men'S Tees-black,1268.16,39,773.76,,0,Non,Not a brand,Jumia
171,172,Fashion Summer Casual T-shirt Men Short Sleeve Cotton T-shirt Casual Slim T Shirt Male Fitness Round Neck Workout Tee Tops Clothing-black,1418.0,42,823.0,,0,Non,Not a brand,Jumia
172,173,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-25",1240.0,42,720.0,,0,Non,Not a brand,Jumia
173,174,Fashion The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-Auburn,1551.0,42,900.0,,0,Non,Not a brand,Jumia
174,175,Men's T-shirt Cotton Short Sleeve Tide Man Fashion Big Size Bottoming Men's T-shirt Tops Round Neck Tee Summer  Tee-black,1523.52,39,929.6,,0,Non,Not a brand,Jumia
175,176,Fashion Brand  Men's T Shirt Round Neck Solid-colored T-shirt For Male Round-neck Medium And Long Section Tops Tshirt-black,1265.0,42,734.0,,0,Non,Not a brand,Jumia
176,177,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-6",1240.0,42,720.0,,0,Non,Not a brand,Jumia
177,178,Classic Vlone Short-sleeved Female Couple Loose Street Hip-hop Big V Trend T-shirt Men's Cotton Round Neck 065-black,2054.4,41,1221.76,,0,Non,Not a brand,Jumia
178,179,Fashion Men's Autumn Long Sleeved T-shirt Round Collar Slim Cotton Shirt Solid Color T-shirt -V Black,1117.0,42,648.0,,0,Non,Not a brand,Jumia
179,180,Fashion Men Short Sleeve T-shirt Fashion Stitching Gyms Singlet Cotton Bodybuilding Men Fitness Round Neck Tshirt-white With Black,1329.0,42,771.0,,0,Non,Not a brand,Jumia
